txt,name,source_link,doc_type,dictionary_type
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
[Illustration: NORTHERN ROBINS READY FOR SOUTHERN SLAUGHTER,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"195 Birds at Avery Island, La. in January 1912, Photographed Daring the",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"Annual Slaughter, by E.A. McIlhenny]",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"No: these people were not Apache Indians, led by a Geronimo who knew no",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"mercy, no compassion. We imagine that they were mostly poor white trash,",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
of Tennessee. One small hamlet sent to market annually enough dead,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"robins to return $500 at _five cents per dozen_; which means _120,000",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
birds_!,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"Last winter Mr. Edward A. McIlhenny of Avery Island, La. (south of New",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"Iberia) informed me that every winter, during the two weeks that the",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
holly berries are ripe thousands of robins come to his vicinity to feed,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"upon them. ""Then every negro man and boy who can raise a gun is after",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"them. About 10,000 robins are slaughtered each day while they remain.",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"Their dead bodies are sold in New Iberia at 10 cents each."" The",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
accompanying illustrations taken by Mr. McIlhenny shows 195 robins on,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"one tree, and explains how such great slaughter is possible.",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
An officer of the Louisiana Audubon Society states that a conservative,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
estimate of the number of robins annually killed in Louisiana for food,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"purposes when they are usually plentiful, is a _quarter of a million_!",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
The food of the robin is as follows:,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"Insects, 40 per cent; wild fruit, 43 per cent; cultivated fruit, 8 per",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"cent, miscellaneous vegetable food, 5 per cent.",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
SPECIAL WORK OF THE SOUTHERN NEGROES.--In 1912 a female colored servant,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
who recently had arrived from country life in Virginia chanced to remark,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"to me at our country home in the middle of August: ""I wish I could find",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"some birds' nests!""",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"""What for?"" I asked, rather puzzled.",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"""Why, to get the aigs and _eat 'em!_"" she responded with a bright smile",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
and flashing teeth.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"""Do you eat the eggs of _wild_ birds?""",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"""Yes indeed! It's _fine_ to get a pattridge nest! From them we nearly",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"always git a whole dozen of aigs at once,--back where I live, in",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"Virginia.""",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"""Do the colored people of Virginia make a _practice_ of hunting for the",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"eggs of wild birds, and eating them?""",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"""Yes, indeed we do. In the spring and summer, when the birds are around,",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"we used to get out every Sunday, and hunt all day. Some days we'd come",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
back with a whole bucket full of aigs; and then we'd set up half the,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"night, cookin' and eatin' 'em. They was _awful_ good!""",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
Her face fairly beamed at the memory of it.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"A few days later, this story of the doings of Virginia negroes was fully",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
corroborated by a colored man who came from another section of that,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"state. Three months later, after special inquiries made at my request, a",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"gentleman of Richmond obtained further corroboration, from negroes. He",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
was himself much surprised by the state of fact that was revealed to,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
him.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"In the North, the economic value of our song birds and other destroyers",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"of insects and weed seeds is understood by a majority of the people, and",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
as far as possible those birds are protected from all human enemies. But,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"in the South, a new division of the Army of Destruction has risen into",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
deadly prominence.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"In _Recreation_ Magazine for May, 1909, Mr. Charles Askins published a",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"most startling and illuminating article, entitled ""The South's Problem",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"in Game Protection."" It brought together in concrete form and with",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
eye-witness reliability the impressions that for months previous had,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
been gaining ground in the North. In order to give the testimony of a,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"man who has seen what he describes, I shall now give numerous quotations",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"from Mr. Askins' article, which certainly bears the stamp of",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"truthfulness, without any ""race prejudice"" whatever. It is a calm,",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"judicial, unemotional analysis of a very bad situation: and I",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
particularly commend it alike to the farmers of the North and all the,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
true sportsmen of the South.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
In his opening paragraphs Mr. Askins describes game and hunting,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"conditions in the South as they were down to twenty years ago, when the",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"negroes were too poor to own guns, and shooting was not for them.",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
       *        *        *        *        *,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
SPECIAL WORK OF THE SOUTHERN NEGROES.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  It is all different now, says Mr. Askins, and the old days will only",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  come back with the water that has gone down the stream. The master,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  is with his fathers or he is whiling away his last days on the,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  courthouse steps of the town. Perhaps a chimney or two remain of,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  what was once the ""big house"" on the hill; possibly it is still",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  standing, but as forlorn and lifeless as a dead tree. The muscadine",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  grapes still grow in the swale and the persimmons in the pasture,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  field, but neither 'possum nor 'coon is left to eat them. The last",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  deer vanished years ago, the rabbits died in their baby coats and",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  the quail were killed in June. Old ""Uncle Ike"" has gone across the",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  ""Great River"" with his master, and his grandson glances at you",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  askance, nods sullenly, whistles to his half breed bird dog,",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  shoulders his three dollar gun and leaves you. He is typical of the,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  change and has caused it, this grandson of dear old Uncle Ike.",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  In the same way the white man is telling the black to abide upon the,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  plantation raising cotton and corn, and further than this nothing",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  will be required of him. He can cheat a white man or a black, steal",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  in a petty way anything that comes handy, live in marriage or out of",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  it to please himself, kill another negro if he likes, and lastly",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  shoot every wild thing that can be eaten, if only he raises the",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  cotton and the corn. But the white sportsmen of the South have never,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  willingly granted the shooting privilege in its entirety, and hence",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  this story. They have told him to trap the rabbits, pot the robins,",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  slaughter the doves, kill the song birds, but to spare the white",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  sportsman's game, the aristocratic little bobwhite quail.",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  In the beginning not so much damage to southern game interests could,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  be accomplished by our colored man and brother, however decided his",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  inclinations. He had no money, no ammunition and no gun. His weapons",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  were an ax, a club, a trap, and a hound dog; possibly he might own",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  an old war musket bored out for shot. Such an outfit was not adapted,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  to quail shooting and especially to wing shooting, with which",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  knowledge Dixie's sportsmen were content. Let the negro ramble about,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  with his hound dog and his war musket; he couldn't possibly kill the,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  quail. And so Uncle Ike's grandson loafed and pottered about in the,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  fields with his ax and his hound dogs, not doing so much harm to the",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  quail but acquiring knowledge of the habits of the birds and skill,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  as a still-hunting pot-hunter that would serve him well later on.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  The negro belongs to a primitive race of people and all such races,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  have keener eyes than white men whose fathers have pored over lines,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  of black and white. He learned to see the rabbit in its form, the",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  squirrels in the leafy trees, and the quails huddled in the grass.",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  The least shade of gray in the shadow of the creek bank he,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  distinguished at once as a rabbit, a glinting flash from a tree top",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  he knew instantly as being caused by the slight movement of a hidden,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  squirrel, and the quiver of a single stem of sedge grass told him of",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  a bevy of birds hiding in the depths. The pot-hunting negro has all,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  the skill of the Indian, has more industry in his loafing, and kills",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  without pity and without restraint. This grandson of Uncle Ike was,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  growing sulky, too, with the knowledge that the white man was",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  bribing him with half a loaf to raise cotton and corn when he might,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  as well exact it all. And this he shortly did, as we shall see.",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  The time came when cotton went up to sixteen cents a pound and,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  single breech-loading guns went down to five dollars apiece. The,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  negro had money now, and the merchants--these men who had said let",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  the nigger alone so long as he raises cotton and corn--sold him the,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  guns, a gun for every black idler, man and boy, in all the South.",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  Then shortly a wail went up from the sportsmen, ""The niggers are",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  killing our quail."" They not only were killing them, but most of the",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  birds were already dead. On the grounds of the Southern Field Club,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  where sixty bevies were raised by the dogs in one day, within two",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  years but three bevies could be found in a day by the hardest kind,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  of hunting; and this story was repeated all over the South. Now the,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  negro began to raise bird dogs in place of hounds, and he carried",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  his new gun to church if services happened to be held on a week day.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  Finally the negro had grown up and had compassed his ambition: he,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  could shoot partridges flying just the same as a white man, was a",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  white man except for a trifling difference in color; and he could,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  kill more birds, too, three times as many. It was merely a change",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  from the old order to the new in which a dark-skinned ""sportsman""",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  had taken the place in plantation life of the dear old ""Colonel"" of",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  loved memory. The negro had exacted his price for raising cotton and,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  corn.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
[Illustration: THE SOUTHERN-NEGRO METHOD OF COMBING OUT THE WILD LIFE,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"""Our colored sportsman is gregarious at all times, but especially so in",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"the matter of recreation. He may slouch about alone, and pot a bevy or",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"two of quail when in actual need of something to eat, or when he has a",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"sale for the birds, but when it comes to shooting for fun he wants to be",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"with the 'gang'.""--Charles Askins.",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
Reproduced from Recreation Magazine. By permission of the Outdoor World.],Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  Our colored sportsman is gregarious at all times, but especially so",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  in the matter of recreation. He may slouch about alone and pot a,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  bevy or two of quail when in actual need of something to eat, or",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  when he has a sale for the birds, but when it comes to shooting for",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  fun he wants to be with the ""gang."" I have seen the darkies at",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  Christmas time collect fifty in a drove with every man his dog, and",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  spread out over the fields. Such a glorious time as he has then! A,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  single cottontail will draw a half-dozen shots and perhaps a couple,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  of young bucks will pour loads into a bunny after he is dead out of,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  pure deviltry and high spirits. I once witnessed the accidental,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  killing of a young negro on this kind of a foray. His companions,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  loaded him into a wagon, stuck a cigar in his mouth, and tried to",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  pour whiskey down him every time they took a drink themselves as,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  they rode back to town. This army of black hunters and their dogs,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  cross field after field, combing the country with fine teeth that",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  leave neither wild animal nor bird life behind.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  There comes a time toward the spring of the year after the quail,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  season is over when the average rural darky is ""between hay and",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  grass."" The merchants on whom he has depended for supplies make it a",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  practice to refuse credit between January first and crop time. The,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  black has spent his cotton money, his sweet potato pile has",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  vanished, the sorghum barrel is empty, he has eaten the last of his",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  winter's pork, and all that remains is a bit of meal and the meat",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  his gun can secure. He is hunting in grim earnest now, using all the",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  cunning and skill acquired by years of practice. He eats,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  woodpeckers, jaybirds, hawks and skunks, drawing the line only at",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  crows and buzzards. At this season of the year I have carried,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  chicken hawks up to the cabins for the sake of watching the delight,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  of the piccaninnies who with glowing eyes would declare, ""Them's",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  mos' as good as chicken."" What happens to the robins, doves, larks,",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  red birds, mocking birds and all songsters in this hungry season",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  needs hardly to be stated.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  It is also a time between hay and grass for the rabbits and the,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  quail. The corn fields are bare and the weed seeds are exhausted. A,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  spring cold spell pinches, they lose their vitality, become thin and",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  quite lack their ordinary wariness. Then the figure-four trap,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  springs up in the hedgerow and the sedge while the work of,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  decimation goes more rapidly along. The rabbits can no longer escape,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  the half-starved dogs, the thinning cover fails to hide the quail",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  and the song birds betray themselves by singing of the coming,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  spring.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  With the growing scarcity of the game now comes the season of sedge,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  and field burning. This is done ostensibly to prepare the land for,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  spring plowing, but really to destroy the last refuge of the quail",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  and rabbits so that they can be bagged with certainty. All the,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  negroes of a neighborhood collect for one of these burnings, all",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  their dogs, and of course all the boys from six years old up. They",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  surround the field and set it on fire in many places, leaving small",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  openings for the game to dash out among the motley assembly. I have,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  seen quail fly out of the burning grass with flaming particles still,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  attached to them. They alight on the burnt ground too bewildered to,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  fly again and the boys and dogs pick them up. Crazed rabbits try the,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  gauntlet amidst the barking curs, shouting negroes and popping guns,",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  but death is sure and quick. The few quail that may escape have no,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  refuge from the hawks and nothing to eat, so every battue of this",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  kind marks the absolute end of the birds in one vicinity; and the,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  next day the darkies repeat the performance elsewhere.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  At this season of the year, the first of May, the blacks are putting",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  in some of their one hundred working days while the single,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  breech-loader rusts in the chimney corner. Surely the few birds that,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  have escaped the foray of the ""gang,"" lived through the hungry days,",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  and survived their burned homes can now call ""Bob White"" and mate in",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  peace. But school is out and the summer sun is putting new life into,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  the bare feet of the half-grown boys, and the halfbreed bird dogs",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  are busier than they were even in winter. The young rabbits are,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  killed before they get out of the nest, and the quail eggs must be",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  hidden rarely well that escape both the eyes of the boys and the,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  noses of the dogs. After all it is not surprising that but three,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  bevies remained of the sixty. Doubtless they would not, except that",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  nature is very kind to her own in the sunny South.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  Not every white man in the South is a sportsman or even a shooter;,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  many are purely business men who have said let the ""nigger"" do as he",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  likes so long as he raises cotton and buys our goods. But Dixie has,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  her full share of true men of the out-of-doors and they have sworn,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  in downright Southern fashion that this thing has got to end.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  Nevertheless their problem is deep and puzzling. In Alabama they,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  made an effort and a beginning. They asked for a law requiring every,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  man to obtain written permission before entering the lands of,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  another to hunt and shoot; they asked for a resident license law,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  taxing every gun not less than five dollars a year; for a shortened,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  season, a bag limit, and a complete system of State wardens.",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  Unfortunately, a lot of white farmers were in the same range as the",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  blacks, and being hit, too, they raised a great outcry. The result",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  was that the Alabama sportsmen got everything they asked for except,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  the foundation of the structure they were trying to build, the high",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  resident license or gun tax which alone could have shut out three,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  dollar guns and saved the remnant of the game. Under the new law the,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  sale of game was forbidden, neither could it be shipped out of the",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  State alive or dead; the ever popular non-resident license was,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  provided for; the season was shortened and the bag limited; the,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  office of State game warden was created with deputies to be paid,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  from fines; hunting upon the lands of another without written,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  permission became a misdemeanor; and then the whole thing was,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  nullified by reducing the resident license to nothing where a man,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  shot upon his own land, one dollar in his own county, and two",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  dollars outside of it. In its practical workings the new law amounts,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  to this: A few northern gunners have paid the non-resident license,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  fee, and enough resident licenses have been taken out by the city",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  sportsmen to make up the handsome salary of the State warden. The,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
